med_id;pro_id;tym_id;media_libelle;media_ressource
291;291;1;gh11b-bustier-blanc-a-baleine;gh11b-bustier-blanc-a-baleine.jpg
292;292;1;gh19a-chemise-simple-blanche;gh19a-chemise-simple-blanche.jpg
293;293;1;gh31-haut-col-mao-bleu-canard;gh31-haut-col-mao-bleu-canard.jpg
294;294;1;gh26-mariniere-noire-et-blanche;gh26-mariniere-noire-et-blanche.jpg
295;295;1;gh22b-chemise-russe;gh22b-chemise-russe.jpg
296;296;1;gh24-bustier-a-dentelle-noirgris;gh24-bustier-a-dentelle-noirgris.jpg
297;297;1;gh25a-bustier-velours-bordeaux;gh25a-bustier-velours-bordeaux.jpg
298;298;1;gh25b-bustier-velours-noir;gh25b-bustier-velours-noir.jpg
299;299;1;gh27-tee-shirt-marron-glace;gh27-tee-shirt-marron-glace.jpg
300;300;1;gh22-chemise-espagnole-rouge-d-homme;gh22-chemise-espagnole-rouge-d-homme.jpg
301;301;1;gh23-chemise-grise-cachemire;gh23-chemise-grise-cachemire.jpg
302;302;1;gh31d-haut-col-mao-bleu-canard;gh31d-haut-col-mao-bleu-canard.jpg
303;303;1;gh19b-chemise-simple-a-manche-courte-blanche;gh19b-chemise-simple-a-manche-courte-blanche.jpg
304;304;1;gh13b-bustier-rouge-a-pois-blancs;gh13b-bustier-rouge-a-pois-blancs.jpg
305;305;1;gh1-hauts-assortiment-de-couleurs;gh1-hauts-assortiment-de-couleurs.jpg
306;306;1;gh31a-haut-col-mao-chair;gh31a-haut-col-mao-chair.jpg
307;307;1;gh6a-haut-noir-dos-nu;gh6a-haut-noir-dos-nu.jpg
308;308;1;gh8-haut-bleu-turquoise;gh8-haut-bleu-turquoise.jpg
309;309;1;gh10a-bustier-blanc-a-baleines;gh10a-bustier-blanc-a-baleines.jpg
310;310;1;gh11a-bustier-rose-a-baleine;gh11a-bustier-rose-a-baleine.jpg
311;311;1;gh12-bustier-bordeaux-et-noir;gh12-bustier-bordeaux-et-noir.jpg
312;312;1;gh17-haut-habille-noir;gh17-haut-habille-noir.jpg
313;313;1;gh7-hauts-nuances-de-gris;gh7-hauts-nuances-de-gris.jpg
314;314;1;gh21a-chemise-rose-manches-longues;gh21a-chemise-rose-manches-longues.jpg
315;315;1;gh14a-haut-rouge-fines-bretelles;gh14a-haut-rouge-fines-bretelles.jpg
316;316;1;gh5-haut-americain;gh5-haut-americain.jpg
317;317;1;gh9-haut-vert-anis;gh9-haut-vert-anis.jpg
318;318;1;gh44-tee-shirt-blanc-manches-courtes;gh44-tee-shirt-blanc-manches-courtes.jpg
